Codice;Sigla;Descrizione Prodotto;Listino Febbraio 2026 Euro cad.;
A3BEB;BM617604;INTERR. AUTOMATICO 1 POLO + N -  4A/ 6kA curva C 2 moduli; 	33,44 ;
A3BEC;BM617606;INTERR. AUTOMATICO 1 POLO + N -  6A/ 6kA curva C 2 moduli; 	20,33 ;
A3BED;BM617610;INTERR. AUTOMATICO 1 POLO + N - 10A/ 6kA curva C 2 moduli; 	17,75 ;
A3BEE;BM617616;INTERR. AUTOMATICO 1 POLO + N - 16A/ 6kA curva C 2 moduli; 	17,75 ;
A3BEF;BM617620;INTERR. AUTOMATICO 1 POLO + N - 20A/ 6kA curva C 2 moduli; 	20,33 ;
A3BEG;BM617625;INTERR. AUTOMATICO 1 POLO + N - 25A/ 6kA curva C 2 moduli; 	20,33 ;
A3BEH;BM617632;INTERR. AUTOMATICO 1 POLO + N - 32A/ 6kA curva C 2 moduli; 	20,33 ;
A3BEJ;BM617640;INTERR. AUTOMATICO 1 POLO + N - 40A/ 6kA curva C 2 moduli; 	20,33 ;
A3BEL;BM617663;INTERR. AUTOMATICO 1 POLO + N - 63A/ 6kA curva C 2 moduli; 	55,01 ;
Interruttori Automatici Magnetotermici 6kA - curva C - 2 Poli - Serie BMS6;;;;
A3BEZ;BM617201;INTERR. AUTOMATICO 2 POLI -  1A/ 6kA curva C 2 moduli; 	32,70 ;
A3BF1;BM617202;INTERR. AUTOMATICO 2 POLI -  2A/ 6kA curva C 2 moduli; 	30,27 ;
A3BF2;BM617203;INTERR. AUTOMATICO 2 POLI -  3A/ 6kA curva C 2 moduli; 	30,27 ;
A3BF3;BM617204;INTERR. AUTOMATICO 2 POLI -  4A/ 6kA curva C 2 moduli; 	30,27 ;
A3BF4;BM617206;INTERR. AUTOMATICO 2 POLI -  6A/ 6kA curva C 2 moduli; 	19,27 ;
A3BF5;BM617210;INTERR. AUTOMATICO 2 POLI - 10A/ 6kA curva C 2 moduli; 	18,63 ;
A3BF6;BM617216;INTERR. AUTOMATICO 2 POLI - 16A/ 6kA curva C 2 moduli; 	18,63 ;
A3BF7;BM617220;INTERR. AUTOMATICO 2 POLI - 20A/ 6kA curva C 2 moduli; 	18,63 ;
A3BF8;BM617225;INTERR. AUTOMATICO 2 POLI - 25A/ 6kA curva C 2 moduli; 	20,01 ;
A3BF9;BM617232;INTERR. AUTOMATICO 2 POLI - 32A/ 6kA curva C 2 moduli; 	20,01 ;
A3BFA;BM617240;INTERR. AUTOMATICO 2 POLI - 40A/ 6kA curva C 2 moduli; 	20,01 ;
A3BFB;BM617250;INTERR. AUTOMATICO 2 POLI - 50A/ 6kA curva C 2 moduli; 	50,10 ;
A3BFC;BM617263;INTERR. AUTOMATICO 2 POLI - 63A/ 6kA curva C 2 moduli; 	50,10 ;
Interruttori Automatici Magnetotermici 6kA - curva C - 3 Poli - Serie BMS6;;;;
A3BG4;BM6173005;INTERR. AUTOMATICO 3 POLI -  0,5A/ 6kA curva C 3 moduli; 	129,80 ;
A3BG6;BM617302;INTERR. AUTOMATICO 3 POLI -  2A/ 6kA curva C 3 moduli; 	51,11 ;
A3BG8;BM617304;INTERR. AUTOMATICO 3 POLI -  4A/ 6kA curva C 3 moduli; 	51,11 ;
A3BG9;BM617306;INTERR. AUTOMATICO 3 POLI -  6A/ 6kA curva C 3 moduli; 	32,01 ;
A3BGA;BM617310;INTERR. AUTOMATICO 3 POLI - 10A/ 6kA curva C 3 moduli; 	32,01 ;
A3BGB;BM617316;INTERR. AUTOMATICO 3 POLI - 16A/ 6kA curva C 3 moduli; 	32,01 ;
A3BGC;BM617320;INTERR. AUTOMATICO 3 POLI - 20A/ 6kA curva C 3 moduli; 	32,01 ;
A3BGD;BM617325;INTERR. AUTOMATICO 3 POLI - 25A/ 6kA curva C 3 moduli; 	32,99 ;
A3BGE;BM617332;INTERR. AUTOMATICO 3 POLI - 32A/ 6kA curva C 3 moduli; 	32,99 ;
A3BGF;BM617340;INTERR. AUTOMATICO 3 POLI - 40A/ 6kA curva C 3 moduli; 	35,38 ;
A3BGG;BM617350;INTERR. AUTOMATICO 3 POLI - 50A/ 6kA curva C 3 moduli; 	61,82 ;
A3BGH;BM617363;INTERR. AUTOMATICO 3 POLI - 63A/ 6kA curva C 3 moduli; 	61,82 ;
Interruttori Automatici Magnetotermici 6kA - curva C - 4 Poli - Serie BMS6;;;;
A3BHA;BM617406;INTERR. AUTOMATICO 4 POLI -  6A/ 6kA curva C 4 moduli; 	42,42 ;
A3BHB;BM617410;INTERR. AUTOMATICO 4 POLI - 10A/ 6kA curva C 4 moduli; 	41,77 ;
A3BHC;BM617416;INTERR. AUTOMATICO 4 POLI - 16A/ 6kA curva C 4 moduli; 	41,77 ;
A3BHD;BM617420;INTERR. AUTOMATICO 4 POLI - 20A/ 6kA curva C 4 moduli; 	41,77 ;
A3BHE;BM617425;INTERR. AUTOMATICO 4 POLI - 25A/ 6kA curva C 4 moduli; 	44,35 ;
A3BHF;BM617432;INTERR. AUTOMATICO 4 POLI - 32A/ 6kA curva C 4 moduli; 	44,35 ;
A3BHG;BM617440;INTERR. AUTOMATICO 4 POLI - 40A/ 6kA curva C 4 moduli; 	44,35 ;
A3BHH;BM617450;INTERR. AUTOMATICO 4 POLI - 50A/ 6kA curva C 4 moduli; 	87,40 ;
A3BHJ;BM617463;INTERR. AUTOMATICO 4 POLI - 63A/ 6kA curva C 4 moduli; 	85,37 ;
Interruttori Automatici Magnetotermici 10kA - curva B - 1 Polo - Serie BMS0;;;;
A3BJG;BM018102;INTERR. AUTOMATICO 1 POLO -  2A/ 10kA curva B 1mod.; 	21,66 ;
A3BJJ;BM018104;INTERR. AUTOMATICO 1 POLO -  4A/ 10kA curva B 1mod.; 	21,66 ;
A3BJK;BM018106;INTERR. AUTOMATICO 1 POLO -  6A/ 10kA curva B 1mod.; 	15,77 ;
A3BJL;BM018110;INTERR. AUTOMATICO 1 POLO - 10A/ 10kA curva B 1mod.; 	13,15 ;
A3BJM;BM018113;INTERR. AUTOMATICO 1 POLO - 13A/ 10kA curva B 1mod.; 	11,87 ;
A3BJN;BM018116;INTERR. AUTOMATICO 1 POLO - 16A/ 10kA curva B 1mod.; 	11,87 ;
